,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,character,start (min),end (min),duration
0,0,0,0,0,King Leonidas,0.416675,8.116829000000001,7.700154000000001
1,1,1,1,1,Xerxes,0.566678,8.116829000000001,7.550151000000001
2,2,2,2,2,Queen Gorgo,0.9000180000000001,8.116829000000001,7.216811000000001
3,3,3,3,3,Dilios,2.3833810000000004,8.116829000000001,5.733448000000001
4,4,4,4,4,Themistocles,3.733408,8.116829000000001,4.383421000000001
5,5,5,5,5,King Darius,5.750115,8.116829000000001,2.366714000000001
6,6,6,6,6,Artemisia,8.3335,13.233598,4.900098000000002
7,7,7,7,7,King Darius,8.816842999999997,13.233598,4.416755000000004
8,8,8,8,8,Xerxes,9.16685,13.233598,4.0667480000000005
9,9,9,9,9,Queen Gorgo,13.250264999999999,15.350307,2.100042000000002
10,10,10,10,10,Senator,13.366934,15.350307,1.9833730000000005
11,11,11,11,11,Senator,13.366934,15.350307,1.9833730000000005
12,12,12,12,12,Senator,13.366934,15.350307,1.9833730000000005
13,13,13,13,13,Old Statesman,13.366934,15.350307,1.9833730000000005
14,14,14,14,14,Senator,13.366934,15.350307,1.9833730000000005
15,15,15,15,15,Greek Ambassador,13.516936999999999,15.350307,1.8333700000000024
16,16,16,16,16,Themistocles,13.583604999999999,15.350307,1.7667020000000022
17,17,17,17,17,Senator,13.816943000000002,15.350307,1.5333639999999988
18,18,18,18,18,Small Ambassador,13.850277000000002,15.350307,1.5000299999999989
19,19,19,19,19,Aeskylos,13.900278000000002,15.350307,1.4500289999999991
20,20,20,20,20,Artemisia,15.50031,16.400328000000002,0.9000180000000011
21,21,21,21,21,Xerxes,15.583645,16.400328000000002,0.8166830000000012
22,22,22,22,22,Themistocles,16.400328000000002,20.867084,4.466755999999997
23,23,23,23,23,Aeskylos,16.400328000000002,20.867084,4.466755999999997
24,24,24,24,24,Dilios,17.567018,20.867084,3.300065999999997
25,25,25,25,25,Queen Gorgo,18.533704,20.867084,2.3333799999999982
26,26,26,26,26,Decapitated Greek marine,20.867084,24.40048800000001,3.5334040000000115
27,27,27,27,27,Artemisia,20.983753000000004,24.40048800000001,3.4167350000000063
28,28,28,28,28,Persian Officer,21.183757000000004,24.40048800000001,3.2167310000000064
29,29,29,29,29,Scyllias,22.567118,24.40048800000001,1.8333700000000093
30,30,30,30,30,Themistocles,24.40048800000001,29.250584999999997,4.8500969999999874
31,31,31,31,31,Scyllias,24.43382200000001,29.250584999999997,4.816762999999988
32,32,32,32,32,Calisto,24.50049000000001,29.250584999999997,4.750094999999988
33,33,33,33,33,Aeskylos,24.76716200000001,29.250584999999997,4.483422999999988
34,34,34,34,34,8 Year Old Artemisia,25.283839000000004,29.250584999999997,3.9667459999999934
35,35,35,35,35,13 Year Old Artemesia,25.900517999999998,29.250584999999997,3.3500669999999992
36,36,36,36,36,Persian Emissary,26.333859999999998,29.250584999999997,2.916725
37,37,37,37,37,King Darius,27.433882000000004,29.250584999999997,1.8167029999999933
38,38,38,38,38,King Leonidas,28.867244000000003,29.250584999999997,0.3833409999999944
39,39,39,39,39,Dilios,28.867244000000003,29.250584999999997,0.3833409999999944
40,40,40,40,40,Ephialtes,28.950578999999998,29.250584999999997,0.3000059999999998
41,41,41,41,41,Daxos,29.10058200000001,29.250584999999997,0.15000299999998745
42,42,42,42,42,Themistocles,29.250584999999997,31.217291000000003,1.9667060000000056
43,43,43,43,43,Aeskylos,29.250584999999997,31.217291000000003,1.9667060000000056
44,44,44,44,44,Calisto,29.633926,31.217291000000003,1.5833650000000041
45,45,45,45,45,Greek Commander,30.283939000000004,31.217291000000003,0.9333519999999992
46,46,46,46,46,Naval Commander,30.33394,31.217291000000003,0.8833510000000047
47,47,47,47,47,Artemisia,31.233958,31.983973,0.7500149999999977
48,48,48,48,48,General Artaphernes,31.233958,31.983973,0.7500149999999977
49,49,49,49,49,General Bandari,31.58396500000001,31.983973,0.4000079999999889
50,50,50,50,50,Themistocles,31.983973,37.300746,5.316772999999999
51,51,51,51,51,Aeskylos,32.617319,37.300746,4.683426999999996
52,52,52,52,52,Calisto,33.434002,37.300746,3.866743999999997
53,53,53,53,53,Artemisia,36.650733,37.300746,0.6500129999999942
54,54,54,54,54,General Artaphernes,36.934072,37.300746,0.36667399999999617
55,55,55,55,55,General Bandari,36.984072999999995,37.300746,0.31667300000000154
56,56,56,56,56,Calisto,37.300746,38.167429999999996,0.8666839999999993
57,57,57,57,57,Themistocles,37.300746,38.167429999999996,0.8666839999999993
58,58,58,58,58,Aeskylos,37.584084999999995,38.167429999999996,0.5833450000000013
59,59,59,59,59,General Kashani,38.167429999999996,40.93415200000001,2.766722000000016
60,60,60,60,60,Artemisia,38.167429999999996,40.93415200000001,2.766722000000016
61,61,61,61,61,General Bandari,38.35076700000001,40.93415200000001,2.583385
62,62,62,62,62,General Artaphernes,38.750775,40.93415200000001,2.1833770000000143
63,63,63,63,63,King Darius,39.217451,40.93415200000001,1.716701000000015
64,64,64,64,64,Aeskylos,41.050821000000006,47.900958,6.8501369999999975
65,65,65,65,65,Themistocles,41.050821000000006,47.900958,6.8501369999999975
66,66,66,66,66,Calisto,41.050821000000006,47.900958,6.8501369999999975
67,67,67,67,67,Greek Commander,41.51749700000001,47.900958,6.383460999999992
68,68,68,68,68,Artemisia,42.18417700000001,47.900958,5.71678099999999
69,69,69,69,69,General Kashani,42.950859,47.900958,4.950099000000002
70,70,70,70,70,General Artaphernes,43.217531,47.900958,4.683427000000002
71,71,71,71,71,Scyllias,43.884211,47.900958,4.016747000000001
72,72,72,72,72,Rope Puller,47.917625,57.78448900000001,9.866864000000009
73,73,73,73,73,Scyllias,48.034294,57.78448900000001,9.750195000000003
74,74,74,74,74,Themistocles,48.034294,57.78448900000001,9.750195000000003
75,75,75,75,75,Calisto,48.034294,57.78448900000001,9.750195000000003
76,76,76,76,76,Aeskylos,48.18429700000001,57.78448900000001,9.600192
77,77,77,77,77,General Artaphernes,48.700974,57.78448900000001,9.083515000000006
78,78,78,78,78,Artemisia,49.950998999999996,57.78448900000001,7.833490000000013
79,79,79,79,79,Themistocles,58.501169999999995,64.13461600000001,5.6334460000000135
80,80,80,80,80,Calisto,58.501169999999995,64.13461600000001,5.6334460000000135
81,81,81,81,81,Artemisia,58.80117600000001,64.13461600000001,5.333439999999996
82,82,82,82,82,General Artaphernes,58.80117600000001,64.13461600000001,5.333439999999996
83,83,83,83,83,Scyllias,59.38452100000001,64.13461600000001,4.750095000000002
84,84,84,84,84,Aeskylos,59.40118800000001,64.13461600000001,4.733427999999996
85,85,85,85,85,Themistocles,64.13461600000001,67.601352,3.4667359999999974
86,86,86,86,86,Aeskylos,64.13461600000001,67.601352,3.4667359999999974
87,87,87,87,87,Queen Gorgo,64.50129000000001,67.601352,3.1000619999999937
88,88,88,88,88,Scyllias,64.70129399999999,67.601352,2.900058000000016
89,89,89,89,89,Calisto,64.70129399999999,67.601352,2.900058000000016
90,90,90,90,90,Xerxes,67.918025,68.951379,1.0333540000000028
91,91,91,91,91,Ephialtes,68.318033,68.951379,0.6333460000000031
92,92,92,92,92,Daxos,68.951379,69.83473000000001,0.8833510000000047
93,93,93,93,93,Calisto,69.03471400000001,69.83473000000001,0.8000159999999994
94,94,94,94,94,Themistocles,69.051381,69.83473000000001,0.7833490000000012
95,95,95,95,95,Ephialtes,69.83473000000001,73.83481,4.000079999999997
96,96,96,96,96,Themistocles,69.83473000000001,73.83481,4.000079999999997
97,97,97,97,97,Senator,69.884731,73.83481,3.9500790000000015
98,98,98,98,98,Dilios,71.76810200000001,73.83481,2.066707999999992
99,99,99,99,99,Queen Gorgo,72.08477500000002,73.83481,1.750034999999983
100,100,100,100,100,Xerxes,73.83481,77.184877,3.3500669999999957
101,101,101,101,101,King Leonidas,73.88481100000001,77.184877,3.300065999999987
102,102,102,102,102,Queen Gorgo,73.96814599999998,77.184877,3.216731000000024
103,103,103,103,103,Artemisia,74.71816100000002,77.184877,2.4667159999999773
104,104,104,104,104,Ephialtes,74.73482800000002,77.184877,2.4500489999999786
105,105,105,105,105,Themistocles,77.184877,79.818263,2.6333860000000016
106,106,106,106,106,Naval Commander,77.71822100000001,79.818263,2.100041999999988
107,107,107,107,107,Aeskylos,77.75155500000002,79.818263,2.0667079999999767
108,108,108,108,108,Calisto,78.13489600000003,79.818263,1.6833669999999756
109,109,109,109,109,Themistocles,80.13493600000002,93.918545,13.783608999999974
110,110,110,110,110,Calisto,80.218271,93.918545,13.700273999999993
111,111,111,111,111,Aeskylos,80.81828300000002,93.918545,13.100261999999974
112,112,112,112,112,Artemisia,81.50163,93.918545,12.416914999999989
113,113,113,113,113,Xerxes,81.73496800000002,93.918545,12.183576999999973
114,114,114,114,114,General Artaphernes,81.918305,93.918545,12.000239999999993
115,115,115,115,115,Queen Gorgo,89.00178000000002,93.918545,4.91676499999997
116,116,116,116,116,Daxos,90.485143,93.918545,3.4334020000000014
117,117,117,117,117,Dilios,93.41853499999999,93.918545,0.5000100000000032
